OrderID,OrderDate,Customer,Product,Category,Quantity,UnitPrice,TotalPrice
1001,2024-01-15,Acme Corp,Laptop Dell XPS,Electrónica,5,1200.00,6000.00
1002,2024-01-16,TechStart Inc,Monitor LG 27",Electrónica,10,350.00,3500.00
1003,2024-01-17,Global Solutions,Teclado Mecánico,Accesorios,15,85.00,1275.00
1004,2024-01-18,Innovate Ltd,Mouse Inalámbrico,Accesorios,20,25.00,500.00
1005,2024-01-19,Data Systems,Auriculares Bluetooth,Electrónica,8,120.00,960.00
1006,2024-01-20,Cloud Ventures,Webcam HD,Accesorios,12,75.00,900.00
1007,2024-01-21,Smart Tech,Tablet Samsung,Electrónica,6,450.00,2700.00
1008,2024-01-22,Digital Hub,Cable HDMI,Accesorios,30,15.00,450.00
1009,2024-01-23,Future Corp,Impresora Láser,Electrónica,4,380.00,1520.00
1010,2024-01-24,NextGen Systems,Disco Duro Externo 2TB,Almacenamiento,7,95.00,665.00
